ID,ScientificName,Dak_Cval,AB_Cval,KS_Cval,IL_Cval,Dispersal_syndrome,Dispersal_unit_type,Leaf_arrangement_type,Leaf_color,Leaf_compoundness,Leaf_phenology,Leaf_phenology_type,Leaf_shape,Photosynthesis_pathway,Plant_growth_form,Plant_growth_rate,Plant_lifespan,Plant_propagation_type,Plant_resprouting_capacity,Plant_tolerance_to_drought,Plant_tolerance_to_fire,Plant_tolerance_to_salt,Plant_tolerance_to_shade,Plant_vegetative_regeneration_capacity,Plant_woodiness,Seed_germination_requirement,Seed_storage_behaviour,LDMC,leafN_drymass,Seed_germ_rate,Seed_mass,SLA_no_petiole_or_rachis,SLA_plus_petiole_and_rachis,Veg_height
111,Astragalus pectinatus,8,,4,,NA,NA,alternate,NA,compound,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Astragalus plattensis,10,,7,,NA,NA,alternate,NA,compound,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,Astragalus racemosus,7,,5,,NA,NA,alternate,NA,compound,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,4.6,NA,NA,NA
115,Astragalus spatulatus,7,,9,,NA,NA,alternate,NA,compound,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,Athyrium angustum,8,,,6,wind,NA,rosette,green,compound,SpSuF,deciduous,bipinnate,c3,herb,moderate,perennial,NA,no,low,no,none,intermediate,yes,non-woody,no,NA,0.167525732,26.876976,NA,1,38.90885903,43.27811019,0.696576
126,Azolla microphylla,10,,5,8,animal,spore,alternate,NA,simple,NA,NA,NA,NA,fern,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,0.02
127,Bacopa rotundifolia,3,,4,5,gravity,NA,opposite,green,simple,SpSuF,NA,NA,NA,herb,slow,perennial,NA,no,none,intermediate,none,intolerant,none,non-woody,no,NA,NA,25.81,NA,0.113224638,32.89473684,NA,0.03048
129,Beckmannia syzigachne,1,2,,10,NA,fruit,alternate,green,simple,SpSu,NA,NA,c3,graminoid,moderate,annual,NA,no,none,intermediate,medium,intermediate,yes,non-woody,no,NA,NA,NA,76,0.66721501,NA,NA,0.9144
131,Bergia texana,8,,2,10,NA,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,Berula erecta,9,,,10,gravity,fruit,alternate,green,compound,Su,evergreen,pinnate,c3,herb,fast,perennial,NA,no,none,intermediate,none,intolerant,yes,non-woody,no,orthodox,0.116046087,40.26666667,100,0.660717295,24.36142857,63.528,0.808922
134,Betula glandulosa,10,6,,,auto,NA,alternate,NA,simple,NA,deciduous,NA,c3,shrub,NA,perennial,NA,NA,NA,no,NA,NA,NA,woody,NA,orthodox,NA,21.2,71,0.153888889,NA,15.54547948,1.266666667
135,Betula occidentalis,8,5,,,wind,NA,alternate,green,simple,SpSu,deciduous,plastic,c3,tree,fast,perennial,NA,yes,low,intermediate,none,intermediate,NA,woody,no,NA,NA,NA,NA,0.258328483,NA,NA,13.65435294
136,Betula papyrifera,8,5,,7,auto,NA,alternate,green,simple,SpSu,deciduous,acute,c3,tree,fast,perennial,NA,yes,low,no,none,intolerant,NA,woody,yes,orthodox,NA,24.98461449,NA,0.348349074,27.51064375,18.13292964,8.580066
137,Bidens comosa,2,,3,,NA,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,3.081,NA,NA,NA
138,Bidens connata,3,,,2,multi,seed,opposite,green,simple,SpSuF,deciduous,cuneate,c3,herb,fast,annual,seed,no,low,no,none,intolerant,yes,non-woody,no,NA,0.139803685,NA,NA,2.714881072,36.9305467,46.96998714,0.713373333
139,Bidens vulgata,1,,2,0,NA,NA,opposite,NA,compound,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,7.18,NA,NA,NA
141,Boltonia asteroides,3,,,5,NA,NA,alternate,green,simple,Su,NA,NA,NA,herb,fast,perennial,NA,no,low,intermediate,none,intermediate,yes,non-woody,yes,NA,NA,NA,NA,0.114941744,NA,NA,2.4384
144,Botrychium simplex,10,,,4,NA,spore,rosette,NA,compound,NA,deciduous,pinnatifid,NA,fern,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,0.06
145,Botrypus virginianus,7,,4,,NA,spore,rosette,green,compound,SpSu,deciduous,bipinnate,NA,fern,moderate,perennial,NA,no,low,intermediate,none,NA,none,non-woody,no,NA,NA,NA,NA,NA,NA,NA,0.457388571
146,Bouteloua curtipendula,5,,,4,NA,NA,alternate,green,simple,Su,deciduous,NA,c4,graminoid,moderate,perennial,NA,yes,med,no,low,intolerant,yes,non-woody,no,orthodox,0.506063382,15.3417225,90,1.160122676,15.90689325,17.59844837,0.431362162
151,Bromus pubescens,8,,4,5,NA,NA,alternate,NA,simple,NA,NA,NA,NA,graminoid,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,27.15,NA,4.62,26.27906977,NA,NA
153,Buchloe dactyloides,4,,3,,NA,NA,alternate,gray-green,simple,NA,NA,NA,c4,graminoid,NA,NA,NA,no,high,high,medium,intolerant,yes,non-woody,NA,NA,NA,23.60620667,NA,8.034,22.35841019,1.90,0.057
155,Calamagrostis stricta,5,,6,,animal,seed,alternate,NA,simple,NA,deciduous,NA,c3,herb,NA,perennial,seed and vegetative,NA,NA,NA,none,intolerant,yes,non-woody,NA,NA,NA,13.8,NA,0.197,NA,18.186,0.775
156,Calla palustris,10,7,,,gravity,seed,rosette,NA,simple,NA,deciduous,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,0.105927,28.6,NA,2.080375,36.93756582,25.76,0.1875
157,Callirhoe involucrata,4,,1,,NA,NA,alternate,gray-green,simple,SpSu,NA,NA,c3,herb,moderate,perennial,NA,no,med,no,low,intolerant,yes,non-woody,no,NA,NA,30.28,NA,4.907832988,17.77777778,NA,0.3048
158,Callitriche heterophylla,10,,7,5,NA,NA,opposite,green,simple,SpSuF,NA,NA,NA,herb,fast,perennial,NA,no,none,yes,none,intolerant,none,non-woody,no,NA,NA,NA,NA,0.100727728,NA,NA,NA
160,Caltha palustris,9,,,7,gravity,seed,rosertte,green,simple,Sp,deciduous,cordate,c3,herb,slow,perennial,seed and vegetative,no,none,intermediate,low,intolerant,yes,non-woody,no,orthodox,0.154327747,42.31296363,77,1.018641845,33.48390615,24.10559785,0.336409524
161,Oenothera serrulata,7,,5,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,23.21,NA,0.2,10.79207921,NA,NA
